Array Size, Basic Operations, Execution Time(ms)
1000,2922,0
1000,1964,0
1000,2435,0
1000,4604,0
1000,5013,0
1000,4443,0
1000,4065,0
1000,2717,0
1000,2446,0
1000,7565,0
6000,30105,0
6000,26818,0
6000,11633,0
6000,23706,0
6000,18376,0
6000,20855,0
6000,13284,1
6000,21572,0
6000,11455,0
6000,16485,1
11000,27182,0
11000,20856,1
11000,33126,0
11000,22799,0
11000,25473,0
11000,21643,0
11000,37510,0
11000,29982,0
11000,40130,1
11000,32575,0
16000,44118,0
16000,35367,0
16000,53329,0
16000,47130,1
16000,68770,1
16000,44071,0
16000,65766,1
16000,85991,0
16000,100418,1
16000,54110,1
21000,50035,0
21000,47834,0
21000,53328,0
21000,74757,0
21000,67348,1
21000,38759,0
21000,60455,0
21000,77224,1
21000,34979,1
21000,53889,1
26000,89934,0
26000,81865,1
26000,89018,1
26000,93448,1
26000,56203,1
26000,90147,1
26000,77767,1
26000,60447,0
26000,108864,1
26000,107886,1
31000,122793,0
31000,102506,1
31000,94119,1
31000,125111,0
31000,77340,1
31000,92037,1
31000,86039,0
31000,143068,1
31000,107777,0
31000,104279,1
36000,125023,0
36000,169914,1
36000,73955,1
36000,102206,0
36000,139983,1
36000,146895,0
36000,140099,1
36000,127622,1
36000,147827,1
36000,93939,1
41000,92640,0
41000,248847,2
41000,137004,1
41000,194209,1
41000,151976,1
41000,158279,1
41000,236610,1
41000,104287,1
41000,88009,0
41000,120706,1
46000,229344,1
46000,99441,1
46000,123349,1
46000,173998,1
46000,131071,1
46000,125314,1
46000,105089,0
46000,156324,1
46000,162430,1
46000,154106,1
51000,221047,2
51000,260761,1
51000,244515,1
51000,131173,1
51000,160197,1
51000,159681,1
51000,176893,1
51000,128542,0
51000,126578,1
51000,134446,1
56000,124594,1
56000,126084,1
56000,230260,1
56000,192432,1
56000,114421,0
56000,172972,1
56000,172770,1
56000,220093,1
56000,193755,1
56000,142951,1
61000,237994,1
61000,172732,1
61000,165543,1
61000,244219,1
61000,210306,1
61000,163825,1
61000,254643,1
61000,162827,1
61000,182727,1
61000,301837,1
66000,169538,1
66000,142133,1
66000,178212,1
66000,188825,1
66000,314005,2
66000,242685,2
66000,166755,1
66000,195801,1
66000,212382,2
66000,220765,1
71000,214986,1
71000,232920,1
71000,361970,2
71000,324164,2
71000,423220,2
71000,201203,1
71000,296625,2
71000,118510,1
71000,263368,2
71000,309106,1
76000,364386,2
76000,283929,2
76000,231439,2
76000,214180,2
76000,207148,2
76000,385488,2
76000,338550,2
76000,170354,2
76000,286301,2
76000,247583,2
81000,248006,2
81000,209057,1
81000,243256,1
81000,188315,1
81000,341591,2
81000,209908,1
81000,258695,1
81000,198237,1
81000,259475,2
81000,279882,2
86000,306169,2
86000,259829,2
86000,423976,2
86000,239236,1
86000,338188,1
86000,326695,2
86000,395462,2
86000,270487,2
86000,347431,1
86000,369118,2
91000,346951,2
91000,290998,1
91000,270670,2
91000,139460,1
91000,388078,1
91000,154820,1
91000,421683,2
91000,232348,1
91000,302160,2
91000,241573,1
96000,237038,2
96000,243720,2
96000,445692,3
96000,205429,1
96000,279208,1
96000,435345,2
96000,223992,1
96000,356602,1
96000,252346,2
96000,219275,2
101000,391867,2
101000,286687,2
101000,338006,2
101000,412079,2
101000,288359,1
101000,444563,3
101000,559702,3
101000,239310,2
101000,428944,2
101000,317532,3
106000,474097,2
106000,304909,2
106000,269121,2
106000,322249,2
106000,288485,2
106000,327702,2
106000,480245,3
106000,225664,1
106000,274992,2
106000,357918,1
111000,395533,2
111000,370975,2
111000,345933,3
111000,522994,4
111000,536704,2
111000,435805,2
111000,467414,2
111000,325802,2
111000,468730,2
111000,490536,2
116000,274546,2
116000,396449,2
116000,410192,2
116000,248921,1
116000,190702,1
116000,422934,3
116000,385081,2
116000,285574,3
116000,480055,3
116000,398355,2
121000,355179,2
121000,384552,2
121000,216099,1
121000,313391,3
121000,307859,2
121000,317285,2
121000,746278,5
121000,739388,5
121000,601334,3
121000,660385,4
126000,348415,3
126000,566962,5
126000,439752,3
126000,426001,4
126000,443479,2
126000,265876,2
126000,572174,5
126000,368016,3
126000,408245,3
126000,241460,1
131000,447638,3
131000,677573,4
131000,527680,3
131000,404766,5
131000,464914,4
131000,321205,2
131000,441438,2
131000,499351,6
131000,350624,2
131000,274694,2
136000,488644,3
136000,732424,4
136000,339289,3
136000,477441,4
136000,490674,3
136000,345232,2
136000,292184,1
136000,521174,4
136000,288825,3
136000,496144,3
141000,547794,3
141000,611015,3
141000,682635,4
141000,516451,3
141000,651135,4
141000,386755,3
141000,510901,2
141000,320549,3
141000,461081,4
141000,463134,3
146000,621112,5
146000,404332,3
146000,338036,2
146000,591692,3
146000,443563,3
146000,420806,3
146000,534381,4
146000,776130,5
146000,810957,5
146000,490001,3
151000,387288,3
151000,765983,5
151000,529591,5
151000,661523,17
151000,445067,3
151000,588963,6
151000,737031,6
151000,655391,5
151000,488425,4
151000,640114,5
156000,574538,3
156000,448586,4
156000,807004,4
156000,465859,3
156000,587016,4
156000,347737,3
156000,627170,4
156000,430005,3
156000,280460,2
156000,787064,5
161000,428274,2
161000,404212,3
161000,530915,4
161000,424385,2
161000,524522,2
161000,619262,4
161000,836723,5
161000,553325,4
161000,534405,4
161000,596866,3
166000,584269,3
166000,594392,4
166000,279886,2
166000,442238,5
166000,706715,4
166000,322390,4
166000,716190,6
166000,820018,3
166000,816457,5
166000,432498,3
171000,901363,5
171000,635964,3
171000,469669,2
171000,418651,3
171000,480227,2
171000,343436,2
171000,430515,3
171000,698164,3
171000,484262,2
171000,454543,3
176000,821542,5
176000,518533,3
176000,471426,3
176000,432632,3
176000,577239,3
176000,662434,4
176000,777407,5
176000,370076,2
176000,556157,3
176000,496525,3
181000,499840,3
181000,870335,4
181000,557111,3
181000,539423,3
181000,821380,4
181000,555136,4
181000,698347,4
181000,389846,3
181000,444573,3
181000,792776,6
186000,519851,4
186000,793837,4
186000,598159,4
186000,431963,3
186000,1112563,5
186000,705012,5
186000,778985,4
186000,698832,3
186000,377191,3
186000,439187,4
191000,1115689,4
191000,575408,4
191000,1006829,5
191000,565534,4
191000,843971,5
191000,757994,5
191000,711835,5
191000,782513,4
191000,467576,2
191000,825131,4
196000,646702,3
196000,532028,3
196000,1091041,4
196000,803657,3
196000,700514,4
196000,614654,3
196000,596121,3
196000,709315,3
196000,804311,4
196000,662180,4
201000,778912,5
201000,1002279,6
201000,543089,2
201000,667387,3
201000,574473,3
201000,590217,3
201000,515485,3
201000,427132,3
201000,877503,3
201000,677414,4
206000,755361,3
206000,732595,3
206000,1110214,4
206000,557872,3
206000,586031,3
206000,536946,4
206000,774469,4
206000,575282,3
206000,430538,3
206000,534916,4
211000,687656,4
211000,661255,3
211000,926953,5
211000,489413,2
211000,920207,4
211000,506620,3
211000,460133,3
211000,871518,4
211000,1228996,5
211000,932977,7
216000,973349,4
216000,803404,4
216000,765167,4
216000,473080,4
216000,1021831,7
216000,841265,4
216000,766364,3
216000,573496,3
216000,658749,3
216000,471325,3
221000,582443,3
221000,518191,2
